textname,urlname,urllinkedin,textlinkedin,textType,textDescription
https://www.theriveter.co/,https://www.theriveter.co/,https://www.linkedin.com/company/theriveter/?originalSubdomain=ph,https://www.linkedin.com/company/theriveter/?originalSubdomain=ph,Coworking,
https://www.typesetseattle.com/,https://www.typesetseattle.com/,,,Coworking,
https://unionclubtacoma.com/,https://unionclubtacoma.com/,https://www.linkedin.com/company/union-club-tacoma/,https://www.linkedin.com/company/union-club-tacoma/,Coworking,
https://unionclubtacoma.com/,https://unionclubtacoma.com/,,,Coworking,
https://www.urbanworklofts.com/,https://www.urbanworklofts.com/,https://www.linkedin.com,https://www.linkedin.com,Coworking,
http://www.vybehub.com/coworking,http://www.vybehub.com/coworking,,,Coworking,
http://www.westseattlecoworking.com/,http://www.westseattlecoworking.com/,,,Coworking,
https://www.wework.com/de-DE/l/seattle--WA?utm_campaign=1636285633&utm_term=64077595593&utm_content=342950603880&utm_source=ads-google&utm_medium=cpc&gclsrc=aw.ds&&gclid=Cj0KCQjwxYLoBRCxARIsAEf16-ttQmBil0hmLu8D34VqOEG-Y2YxHaQPMHZLmGdATbgdF6O_5Pzl1A4aAuJ7EALw_wcB&gclsrc=aw.ds,https://www.wework.com/de-DE/l/seattle--WA?utm_campaign=1636285633&utm_term=64077595593&utm_content=342950603880&utm_source=ads-google&utm_medium=cpc&gclsrc=aw.ds&&gclid=Cj0KCQjwxYLoBRCxARIsAEf16-ttQmBil0hmLu8D34VqOEG-Y2YxHaQPMHZLmGdATbgdF6O_5Pzl1A4aAuJ7EALw_wcB&gclsrc=aw.ds,https://www.linkedin.com/company/wework/?originalSubdomain=ph,https://www.linkedin.com/company/wework/?originalSubdomain=ph,Coworking,
https://www.leavenworthworkspace.com/,https://www.leavenworthworkspace.com/,,,Coworking,
http://www.worksprogressseattle.com/en,http://www.worksprogressseattle.com/en,https://www.linkedin.com/company/works-progress-seattle/,https://www.linkedin.com/company/works-progress-seattle/,Coworking,
https://extraslice.com/,https://extraslice.com/,https://www.linkedin.com/company/extraslice/,https://www.linkedin.com/company/extraslice/,"Coworking, Incubator",
https://mergertech.com/,https://mergertech.com/,https://www.linkedin.com/company/mergertech-advisors/about/,https://www.linkedin.com/company/mergertech-advisors/about/,Entrepreneurs Support Orga,
http://www.metricstory.com#sthash.mmvTaFtc.dpuf,http://www.metricstory.com#sthash.mmvTaFtc.dpuf,https://www.linkedin.com/company/metricstory/,https://www.linkedin.com/company/metricstory/,Entrepreneurs Support Orga,
http://www.redwoodvaluation.com/,http://www.redwoodvaluation.com/,,,Entrepreneurs Support Orga,
http://www.cleantechalliance.org/,http://www.cleantechalliance.org/,https://www.linkedin.com/company/washington-clean-technology-alliance/,https://www.linkedin.com/company/washington-clean-technology-alliance/,Entrepreneurs Support Orga,
http://codersociety.org/,http://codersociety.org/,,,Entrepreneurs Support Orga,
http://codersociety.org/,http://codersociety.org/,,,Entrepreneurs Support Orga,
https://spring.is/,https://spring.is/,https://www.linkedin.com/company/spring-is/,https://www.linkedin.com/company/spring-is/,Entrepreneurs Support Orga,
http://foster.uw.edu/centers/buerk-ctr-entrepreneurship/,http://foster.uw.edu/centers/buerk-ctr-entrepreneurship/,,,Entrepreneurs Support Orga,
http://www.seattletechstartups.com,http://www.seattletechstartups.com,,,Entrepreneurs Support Orga,
http://www.washbio.org,http://www.washbio.org,https://www.linkedin.com/company/life-science-washington/,https://www.linkedin.com/company/life-science-washington/,Entrepreneurs Support Orga,
http://bctia.org/,http://bctia.org/,https://www.linkedin.com/company/bctech/,https://www.linkedin.com/company/bctech/,Entrepreneurs Support Orga,
http://www.tagnw.org,http://www.tagnw.org,https://www.linkedin.com/company/tagnw/,https://www.linkedin.com/company/tagnw/,Entrepreneurs Support Orga,
http://www.techoregon.org/,http://www.techoregon.org/,https://www.linkedin.com/company/technology-association-of-oregon/,https://www.linkedin.com/company/technology-association-of-oregon/,Entrepreneurs Support Orga,
http://www.wacleantech.org/,http://www.wacleantech.org/,https://www.linkedin.com/company/washington-clean-technology-alliance/,https://www.linkedin.com/company/washington-clean-technology-alliance/,Entrepreneurs Support Orga,
http://www.washingtontechnology.org/,http://www.washingtontechnology.org/,https://www.linkedin.com/company/15365/,https://www.linkedin.com/company/15365/,Entrepreneurs Support Orga,
https://www.law.washington.edu/clinics/entrepreneurial/,https://www.law.washington.edu/clinics/entrepreneurial/,https://www.linkedin.com/school/university-of-washington-school-of-law/,https://www.linkedin.com/school/university-of-washington-school-of-law/,Entrepreneurs Support Orga,
http://www.camps-us.com/,http://www.camps-us.com/,https://www.linkedin.com/company/the-center-for-advanced-manufacturing-puget-sound/,https://www.linkedin.com/company/the-center-for-advanced-manufacturing-puget-sound/,Entrepreneurs Support Orga,
http://www.wsbdc.org/,http://www.wsbdc.org/,https://www.linkedin.com/company/wsbdc/,https://www.linkedin.com/company/wsbdc/,Entrepreneurs Support Orga,
https://bellingham.score.org/,https://bellingham.score.org/,https://www.linkedin.com/company/score-mentors/,https://www.linkedin.com/company/score-mentors/,Entrepreneurs Support Orga,
https://igniteseattle.com/,https://igniteseattle.com/,/,/,Entrepreneurs Support Orga,
https://startuphaven.com/,https://startuphaven.com/,https://www.linkedin.com/company/startup-haven,https://www.linkedin.com/company/startup-haven,Entrepreneurs Support Orga,
http://www.newtechnorthwest.com/,http://www.newtechnorthwest.com/,https://www.linkedin.com/company/newtechnorthwest/,https://www.linkedin.com/company/newtechnorthwest/,Entrepreneurs Support Orga,
http://spu.edu/academics/school-of-business-and-economics/center-for-applied-learning/social-venture,http://spu.edu/academics/school-of-business-and-economics/center-for-applied-learning/social-venture,/,/,Entrepreneurs Support Orga,
http://www.svpseattle.org/,http://www.svpseattle.org/,https://www.linkedin.com/groups/2886428/,https://www.linkedin.com/groups/2886428/,Entrepreneurs Support Orga,
venturesnonprofit.org,venturesnonprofit.org,https://www.linkedin.com/company/washington-c-a-s-h-community-alliance-for-self-help-/?trk=company_logo,https://www.linkedin.com/company/washington-c-a-s-h-community-alliance-for-self-help-/?trk=company_logo,Entrepreneurs Support Orga,
https://bcorporation.net/,https://bcorporation.net/,https://www.linkedin.com/company/b-lab/,https://www.linkedin.com/company/b-lab/,Entrepreneurs Support Orga,
https://businessimpactnw.org/services/wwbc/,https://businessimpactnw.org/services/wwbc/,https://www.linkedin.com/company/business-impact-nw,https://www.linkedin.com/company/business-impact-nw,Entrepreneurs Support Orga,
http://www.growutah.com/,http://www.growutah.com/,https://www.linkedin.com/company/grow-utah/,https://www.linkedin.com/company/grow-utah/,Entrepreneurs Support Orga,
http://lswinstitute.org,http://lswinstitute.org,https://www.linkedin.com/company/life-science-washington-institute/,https://www.linkedin.com/company/life-science-washington-institute/,Entrepreneurs Support Orga,
https://mic.comotion.uw.edu/#,https://mic.comotion.uw.edu/#,,,Entrepreneurs Support Orga,
http://nationalscience.org/,http://nationalscience.org/,https://www.linkedin.com/company/national-science-communication-institute/?trk=top_nav_home,https://www.linkedin.com/company/national-science-communication-institute/?trk=top_nav_home,Entrepreneurs Support Orga,
http://www.cie-nw.org/,http://www.cie-nw.org/,/,/,Entrepreneurs Support Orga,
http://www.seattle.gov/economicdevelopment,http://www.seattle.gov/economicdevelopment,,,Entrepreneurs Support Orga,
https://www.seattleu.edu/business/centers-and-programs/iec/,https://www.seattleu.edu/business/centers-and-programs/iec/,/,/,Entrepreneurs Support Orga,
https://www.technology-alliance.com/,https://www.technology-alliance.com/,https://www.linkedin.com/company/technology-alliance/,https://www.linkedin.com/company/technology-alliance/,Entrepreneurs Support Orga,
https://www.vancouvereconomic.com/help/,https://www.vancouvereconomic.com/help/,https://www.linkedin.com/company/vancouver-economic-development-commission/,https://www.linkedin.com/company/vancouver-economic-development-commission/,Entrepreneurs Support Orga,
http://www.wsbdc.org/,http://www.wsbdc.org/,,,Entrepreneurs Support Orga,
http://www.oen.org,http://www.oen.org,https://www.linkedin.com/company/oregon-entrepreneurs-network/,https://www.linkedin.com/company/oregon-entrepreneurs-network/,"Entrepreneurs Support Orga
",
http://www.founderdating.com,http://www.founderdating.com,https://www.linkedin.com/company/founderdating/,https://www.linkedin.com/company/founderdating/,"Entrepreneurs Support Orga
",
https://femalefounders.org/,https://femalefounders.org/,https://www.linkedin.com/company/female-founders-alliance/,https://www.linkedin.com/company/female-founders-alliance/,"Entrepreneurs Support Orga, Accelerator",
http://oregon.tie.org,http://oregon.tie.org,,,"Entrepreneurs Support Orga, Angel Investment
",
http://seattle.tie.org,http://seattle.tie.org,https://www.linkedin.com/company/tie-seattle/,https://www.linkedin.com/company/tie-seattle/,"Entrepreneurs Support Orga, Angel Investment
",
https://www.psl.com/,https://www.psl.com/,https://www.linkedin.com/company/pioneer-square-labs/,https://www.linkedin.com/company/pioneer-square-labs/,"Generator, Venture Capital",
http://accpnw.com/,http://accpnw.com/,https://www.linkedin.com/company/african-chamber-of-commerce-of-the-pacific-northwest/,https://www.linkedin.com/company/african-chamber-of-commerce-of-the-pacific-northwest/,Government Support Agency,
http://www.edc-seaking.org/,http://www.edc-seaking.org/,https://www.linkedin.com/company/edcseattleking/,https://www.linkedin.com/company/edcseattleking/,Government Support Agency,
http://www.bcic.ca/,http://www.bcic.ca/,https://www.linkedin.com/company/innovatebc/,https://www.linkedin.com/company/innovatebc/,Government Support Agency,
http://www.washingtonptac.org/,http://www.washingtonptac.org/,https://www.linkedin.com/company/washington-ptac/,https://www.linkedin.com/company/washington-ptac/,Government Support Agency,
http://www.export.gov/washington,http://www.export.gov/washington,/,/,Government Support Agency,
https://www.mbda.gov/,https://www.mbda.gov/,https://www.linkedin.com/company/usmbda/,https://www.linkedin.com/company/usmbda/,Government Support Agency,
www.intellectualventures.com,www.intellectualventures.com,https://www.linkedin.com/company/intellectual-ventures/,https://www.linkedin.com/company/intellectual-ventures/,Incubator,
http://www.kenmorewa.gov/KBI,http://www.kenmorewa.gov/KBI,,,Incubator,
https://www.launchacademy.ca/,https://www.launchacademy.ca/,https://www.linkedin.com/company/launchacademyhq/,https://www.linkedin.com/company/launchacademyhq/,Incubator,
http://www.mercurymedtech.com,http://www.mercurymedtech.com,,,Incubator,
https://mbrcslcc.com/,https://mbrcslcc.com/,/,/,Incubator,
http://washingtoninteractivenetwork.org/,http://washingtoninteractivenetwork.org/,https://www.linkedin.com/company/washington-interactive-network/,https://www.linkedin.com/company/washington-interactive-network/,Incubator,
http://www.onami.us,http://www.onami.us,,,"Incubator
",
http://www.otradi.org,http://www.otradi.org,https://www.linkedin.com/company/otradi-&-otradi-bioscience-incubator/,https://www.linkedin.com/company/otradi-&-otradi-bioscience-incubator/,"Incubator
",
https://vertuelab.org/,https://vertuelab.org/,https://www.linkedin.com/company/vertuelab/,https://www.linkedin.com/company/vertuelab/,"Incubator
",
http://www.seedip.com/,http://www.seedip.com/,https://www.linkedin.com/company/seed-ip-law-group/,https://www.linkedin.com/company/seed-ip-law-group/,Legal Firm,
https://www.wsgr.com/WSGR/Default.aspx,https://www.wsgr.com/WSGR/Default.aspx,https://www.linkedin.com/company/wilson-sonsini-goodrich-&-rosati,https://www.linkedin.com/company/wilson-sonsini-goodrich-&-rosati,Legal Firm,
https://fablabtacoma.com/,https://fablabtacoma.com/,/,/,Makerspace,
https://kcls.org/makerspace/,https://kcls.org/makerspace/,,,Makerspace,
http://www.metrixcreatespace.com/,http://www.metrixcreatespace.com/,https://www.linkedin.com/company/metrix-create-space/about/,https://www.linkedin.com/company/metrix-create-space/about/,Makerspace,
http://www.phinneysandbox.com/welcome.html,http://www.phinneysandbox.com/welcome.html,,,Makerspace,
http://sodomakerspace.com/,http://sodomakerspace.com/,,,Makerspace,
https://sound.bio/,https://sound.bio/,https://www.linkedin.com/company/soundbio/,https://www.linkedin.com/company/soundbio/,Makerspace,
http://comotion.uw.edu/makerspace,http://comotion.uw.edu/makerspace,https://www.linkedin.com/school/university-of-washington/,https://www.linkedin.com/school/university-of-washington/,Makerspace,
https://www.geekwire.com/,https://www.geekwire.com/,https://www.linkedin.com/company/geekwire/?originalSubdomain=de,https://www.linkedin.com/company/geekwire/?originalSubdomain=de,Media,
https://www.bizjournals.com/seattle/,https://www.bizjournals.com/seattle/,https://www.linkedin.com/company/puget-sound-business-journal/,https://www.linkedin.com/company/puget-sound-business-journal/,Media,
https://www.stratnews.com/about/,https://www.stratnews.com/about/,https://www.linkedin.com/company/strategic-news-service/about/,https://www.linkedin.com/company/strategic-news-service/about/,Media,
https://www.seattletimes.com/,https://www.seattletimes.com/,https://www.linkedin.com/company/the-seattle-times/,https://www.linkedin.com/company/the-seattle-times/,Media,
https://www.underwire.works/,https://www.underwire.works/,https://www.linkedin.com/company/underwire-media/,https://www.linkedin.com/company/underwire-media/,Media,
https://www.k2.com/,https://www.k2.com/,https://www.linkedin.com/company/k2/,https://www.linkedin.com/company/k2/,Networking,
http://activspace.com/,http://activspace.com/,https://www.linkedin.com/company/activspace/,https://www.linkedin.com/company/activspace/,Office Rental,
https://www.regus.com/locations/united-states/washington/seattle/washington-seattle-columbia-center,https://www.regus.com/locations/united-states/washington/seattle/washington-seattle-columbia-center,https://www.linkedin.com/company/regus/,https://www.linkedin.com/company/regus/,Office Rental,
https://curious.vc/,https://curious.vc/,https://www.linkedin.com/company/curiouscapital/about/,https://www.linkedin.com/company/curiouscapital/about/,Venture Capital,
https://www.accel.com/,https://www.accel.com/,https://www.linkedin.com/company/accel-vc/,https://www.linkedin.com/company/accel-vc/,Venture Capital,
